title,year,genre,cast_hint,director,plot_hint,tagline_text
Spider-Man 3,2007,"Action, Adventure, Science Fiction","Tobey Maguire, Kirsten Dunst, James Franco",,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The greatest battle lies within.
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",It's how you wear the mask that matters.
Spider-Man: Far From Home,2019,"Action, Adventure, Science Fiction","Tom Holland, Jake Gyllenhaal, Samuel L. Jackson",,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",It's time to step up.
Spotlight,2015,"Drama, History","Mark Ruffalo, Michael Keaton, Rachel McAdams",,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Break the story. Break the silence.
Stand by Me,1986,"Crime, Drama","Wil Wheaton, River Phoenix, Corey Feldman",,"After learning that a boy their age has been accidentally killed near their rural homes, four boys decide to go see the body. Gordie, Vern, Chris, and Teddy encounter a mean junk man and a marsh full of leeches, but they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.","If I could only have one food to eat for the rest of my life?"" ""That's easy. Pez. Cherry flavor Pez. No question about it."
Star Trek: The Motion Picture,1979,"Science Fiction, Adventure, Mystery","William Shatner, Leonard Nimoy, DeForest Kelley",,"When an unidentified alien destroys three powerful Klingon cruisers, Captain James T. Kirk returns to the newly transformed U.S.S. Enterprise to take command.",The human adventure is just beginning.
Star Wars: Episode I - The Phantom Menace,1999,"Adventure, Action, Science Fiction","Liam Neeson, Ewan McGregor, Natalie Portman",,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",Every saga has a beginning.
Star Wars: Episode III - Revenge of the Sith,2005,"Adventure, Action, Science Fiction","Hayden Christensen, Ewan McGregor, Natalie Portman",,"When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker must choose a side.",Every story has a hero. Every hero has a destiny. Every saga has an end.
Star Wars: The Force Awakens,2015,"Adventure, Action, Science Fiction","Daisy Ridley, John Boyega, Oscar Isaac",,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Every generation has a story.
Star Wars: The Last Jedi,2017,"Adventure, Action, Science Fiction","Mark Hamill, Carrie Fisher, Adam Driver",,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",Let the past die.
Stuart Little,1999,"Family, Fantasy, Comedy","Michael J. Fox, Geena Davis, Hugh Laurie",,"When the Littles adopt Stuart, the mouse, George is initially unwelcoming to his new brother, and the family cat, Snowbell, is even less enthusiastic. Stuart resolves to face these difficulties with as much pluck and courage as he can muster.",The Little family just got bigger.
Summer of '42,1971,"Comedy, Drama, Romance","Jennifer O'Neill, Gary Grimes, Jerry Houser",,"Over the summer of 1942 on Nantucket Island, three friends -- Hermie, Oscy and Benjie -- are more concerned with getting laid than anything else. Hermie falls in love with the married Dorothy, whose husband is an army pilot recently sent to the battlefront of World War II.","In everyone's life there's a ""Summer of '42"""
Superman Returns,2006,"Science Fiction, Action, Adventure","Brandon Routh, Kate Bosworth, Kevin Spacey",,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",Look up in the sky!
Tangled,2010,"Animation, Family, Adventure","Mandy Moore, Zachary Levi, Donna Murphy",,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",They're taking adventure to new lengths.
Tarzan,1999,"Animation, Family, Adventure","Tony Goldwyn, Minnie Driver, Glenn Close",,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",An immortal legend as you've only imagined.
Taxi Driver,1976,"Crime, Drama","Robert De Niro, Jodie Foster, Cybill Shepherd",,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.","On every street in every city in this country, there's a nobody who dreams of being somebody. He's a lonely forgotten man desperate to prove that he's alive."
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Comedy, Action","Micah Abbey, Shamon Brown Jr., Nicolas Cantu",,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",Heroes aren't born. They're mutated.
Tender Mercies,1983,"Drama, Music, Romance","Robert Duvall, Tess Harper, Betty Buckley",,Alcoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.,His struggle for fame was over. His fight for respect was just beginning.
Tenet,2020,"Action, Thriller, Science Fiction","John David Washington, Robert Pattinson, Elizabeth Debicki",,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Time runs out.
Terms of Endearment,1983,"Drama, Comedy","Shirley MacLaine, Debra Winger, Jack Nicholson",,"Aurora, a finicky woman, is in search of true love while her daughter faces marital issues. Together, they help each other deal with problems and find reasons to live a joyful life.","Come to laugh, come to cry, come to care, come to terms."
Tess,1979,"Drama, Romance","Nastassja Kinski, Peter Firth, Leigh Lawson",,"A strong-willed peasant girl is sent by her father to the estate of some local aristocrats to capitalize on a rumour that their families are from the same line. This fateful visit commences an epic narrative of sex, class, betrayal, and revenge.","She was born into a world where they called it seduction, not rape. What she did would shatter that world forever."
The 40 Year Old Virgin,2005,"Comedy, Romance","Steve Carell, Catherine Keener, Paul Rudd",,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",Better late than never.
The Accidental Tourist,1988,"Comedy, Drama, Romance","William Hurt, Kathleen Turner, Geena Davis",,"After the death of his son, travel writer Macon Leary seems to be sleep walking through life. Macon's wife is having similar problems. They separate, and Macon meets a strange, outgoing woman who brings him 'back down to earth', but his wife soon thinks their marriage is still worth another try.","Macon Leary was set in his ways. The way he lived, thought and worked. He imagined it would always be like that. Until an unusual woman showed him the way it could be."
